sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.9,11.2,10.55,1.299999999999999,2645,0.14400715033184042,0.02848473450962402,int_log_mstar,int_log_mstar,2,0.0030792885590801844,2,4
full_sample,10.0,10.4,10.2,0.40000000000000036,1138,0.12108546406498621,0.04280467161482038,int_log_mgas,int_log_gas_fraction,1,0.006620674018639083,1,3
full_sample,10.0,10.5,10.25,0.5,1404,0.13844904856340584,0.04226409016064925,int_log_mgas,int_log_gas_fraction,1,0.0052950984055622485,1,6
full_sample,10.0,10.55,10.275,0.5500000000000007,1552,0.14466180120873384,0.041051203522705915,int_log_mgas,int_log_gas_fraction,1,0.007981189531257926,1,6
full_sample,10.0,10.6,10.3,0.5999999999999996,1685,0.15487622023291858,0.03501899231654859,int_log_mstar,int_log_mstar,3,0.002878170093220944,2,5
full_sample,10.0,10.7,10.35,0.6999999999999993,1873,0.16273130652403875,0.030428279822380583,int_log_mstar,int_log_mstar,5,8.389247187562399e-05,2,4
full_sample,10.0,10.75,10.375,0.75,1970,0.1623015165389348,0.03022049649381467,int_log_mstar,int_log_mstar,5,0.0005690730113951381,2,4
full_sample,10.0,10.8,10.4,0.8000000000000007,2050,0.15253443973923123,0.0261002475544396,int_log_mstar,int_log_mstar,3,-3.274294577526593e-06,2,6
full_sample,10.0,10.9,10.45,0.9000000000000004,2163,0.15255607438749894,0.025406769139590946,int_log_mstar,int_log_mstar,6,-0.0021563204820951865,2,4
full_sample,10.0,11.0,10.5,1.0,2239,0.148580972162985,0.027526625850258224,int_log_mstar,int_log_mstar,3,0.0005042030180918977,2,5
full_sample,10.0,11.2,10.6,1.1999999999999993,2327,0.1381544184255576,0.026452642616138,int_log_mstar,int_log_mstar,5,0.0008093203303221053,2,3
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,9.8,9.4,0.8000000000000007,4241,0.12210283234260852,0.05534318601348878,int_log_mgas,int_log_gas_fraction,1,0.06629913689973793,1,3
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,9.9,9.45,0.9000000000000004,4592,0.12994245903278454,0.05828617327760985,int_log_mgas,int_log_gas_fraction,1,0.06739001081968266,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.0,9.5,1.0,4910,0.134515246312321,0.06026267631853521,int_log_mgas,int_log_gas_fraction,1,0.06539570772318778,1,5
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.1,9.55,1.0999999999999996,5261,0.13681939534280882,0.06089989669086948,int_log_mgas,int_log_gas_fraction,1,0.0633503230178677,1,5
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.2,9.6,1.1999999999999993,5557,0.1372167543801666,0.060467675379185404,int_log_mgas,int_log_gas_fraction,1,0.06073726813925989,1,6
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.3,9.65,1.3000000000000007,5802,0.13661597223190158,0.05793997555642144,int_log_mgas,int_log_gas_fraction,1,0.055552808937562315,1,6
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.4,9.7,1.4000000000000004,6038,0.13505937684142244,0.057203805995185014,int_log_mgas,int_log_gas_fraction,1,0.050376751798419966,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.0,10.5,9.75,1.5,6265,0.13375273860789003,0.056151191910878334,int_log_mgas,int_log_gas_fraction,1,0.04675909278907389,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.1,9.8,9.45,0.7000000000000011,3576,0.12279535839785533,0.05682980378727187,int_log_mgas,int_log_gas_fraction,1,0.06343169569064416,1,5
gas_particles_ge_100_and_log_sfr_gt_minus5,9.1,9.9,9.5,0.8000000000000007,3927,0.12861583777781538,0.060838777842628616,int_log_mgas,int_log_gas_fraction,1,0.0626725368198173,1,3
